acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence
0.4166752327,0.6758939853,0.6344762684,0.0106280683,0.17764657120000002,0.1593100648,0.6608542569462146,0.576660988
0.3744077685,0.5286430621,0.8174611317,0.0018511032,0.1058799438,0.4618181276,0.5056597310731583,0.2692402421
0.0435668989,0.7455658702,0.7014699916,0.0006967989999999999,0.3731433124,0.1245953419,0.39932768289574305,0.6216612236
0.9516699648,0.6581786543,0.9245251615,0.9654270154,0.1154738842,0.032985219100000004,0.444342658679582,0.9635898919
0.4522173071,0.5132380502,0.5604099311,0.0194426943,0.096566694,0.5255193792,0.4552080678052511,0.8940722715
0.1065495253,0.2609111726,0.6070668636,0.8350869898000001,0.2236762711,0.0305692764,0.784480149120571,0.1602670903
0.3763124975,0.7340790229,0.2656847734,0.6695811237,0.08599512220000001,0.0390682262,0.42996431302574567,0.6099912728
0.9636568796,0.435932998,0.0756321472,0.34549349090000003,0.1056858694,0.0266578493,0.13333625414223807,0.1639499337
0.6628811246,0.3790654766,0.8238557795999999,0.9102661844,0.08870525509999999,0.0790903546,0.5886000828447617,0.0928676322
0.9090114288,0.4436425913,0.6419971681000001,0.9240916996,0.2676694513,0.08965891320000001,0.5119527466224828,0.7882507820999999
0.2355061866,0.4386716924,0.4877519875,0.7161218401,0.0703593076,0.047297772,0.48109705582462403,0.6504516889999999
0.5320194932,0.4176809211,0.4764224981,0.4025004064,0.172104669,0.0353607215,0.5395583736936018,0.6823971806
0.7784099162,0.7066810633,0.8661160134999999,0.8067025984999999,0.1046498167,0.0650834651,0.47881882487891914,0.9176129075
0.9883055496,0.2556609004,0.9797737929,0.9730057241,0.121342,0.051739762300000006,0.359422795054805,0.0340178672
0.9701348869,0.3529461312,0.0238515619,0.9571128852,0.1132607212,0.0321767642,0.21411387968391538,0.035631561
0.9816573443,0.1422492483,0.9121220855,0.9672939775,0.3635095155,0.0875269884,0.36607825643640074,0.034325256400000004
0.989141175,0.2259775281,0.7228348526999999,0.2630762793,0.0923705318,0.0534063523,0.37567709660973747,0.0283472078
0.8866597102,0.2985183025,0.7443325625,0.9209504901,0.13958701839999998,0.08878104140000001,0.3898483303594188,0.0735475474
0.6982777611,0.2858156458,0.2134937338,0.9556913003,0.0870359278,0.0640938189,0.5004341384144787,0.1505991359
0.8155489042,0.14412507119999998,0.8927211866,0.9004301244,0.1047034668,0.1022936576,0.5523515166964058,0.0349164186
0.8421128878,0.2852932287,0.5646886968,0.9516243456,0.1104813781,0.0406105474,0.663363497323477,0.254299214
0.3673926458,0.3396980706,0.8466394386,0.9091861794,0.1989439803,0.4626074726,0.28233733749681367,0.0482427328
0.9939276168,0.3100899771,0.9524931303,0.2743114791,0.3542305191,0.8257439070999999,0.27646651159826663,0.0334023117
0.8335160134999999,0.2065092789,0.779140487,0.9408410856,0.3723113985,0.07722714480000001,0.49222135483048685,0.0281438157
0.7542752993,0.2091129065,0.5799592774,0.7368654346,0.1121648933,0.0733502023,0.38208959979607443,0.0833302608
0.9955533218,0.1861459299,0.4130542364,0.9551374475,0.1117162764,0.040892505,0.24421679836859547,0.252819344
0.9588732916,0.2746088553,0.9894824701,0.9193623081,0.5465156876,0.1853163118,0.3352544290084119,0.0332076001
0.9936702086,0.6225780356,0.216906878,0.9728700043,0.1109893491,0.0299235029,0.36692263573795564,0.039641258
0.9906294902,0.5007534567,0.3712297429,0.1028384438,0.21881019420000006,0.0325288108,0.40195242798878406,0.2512323052
0.9824639154,0.2865572933,0.2383479416,0.9429368516,0.0974932193,0.0299079097,0.4591989548814683,0.08613650839999999
0.9928656425,0.653847565,0.0441512437,0.3384042114,0.1127408309,0.8453119277,0.5164773451440224,0.7881602727
0.9140388753,0.6406010435,0.1640712523,0.7605621934000001,0.25839903280000004,0.0992103212,0.19847294799898038,0.19078971100000006
0.9929059493,0.4947301766,0.2003375585,0.618086852,0.0864499383,0.0389377953,0.41334358271730814,0.2532444151
0.9894955507,0.4939894562,0.1845083868,0.9684166432,0.1165945871,0.0423415399,0.19981519245475401,0.2670295163
0.9954594975,0.3700605051,0.1467337752,0.9728133564,0.1178278324,0.0357200319,0.4275506627580933,0.1360601183
0.983585184,0.6026565649,0.0070436968999999985,0.7917134418,0.08002191269999999,0.4211134428,0.5125939969411164,0.7700094570999999
0.9947583569,0.4444766366,0.25420245550000004,0.9073222684,0.1381990807,0.0326918427,0.42858223935763445,0.1920340768
0.8370462240000001,0.6526869632,0.2081522129,0.9139808956,0.09810690789999997,0.0445847109,0.3446660718837624,0.3477647197
0.9601916036,0.2159259286,0.2951264558,0.8029777144,0.17007612079999998,0.0378251053,0.7981415689523323,0.3677399293
0.9918128928,0.461854871,0.5437512413000001,0.964922262,0.13700643199999998,0.0256877097,0.3741755353046138,0.7586315481999999
0.9948479146,0.5716589366,0.2114205223,0.9688926849,0.1201000045,0.0354200879,0.4421321373948509,0.1926132843
0.9927647775,0.5889867604,0.13791829460000002,0.0873760557,0.0957687898,0.058463974400000014,0.4871510960999235,0.6310426834
0.9767540277,0.4134284125,0.2261673577,0.2648709939,0.1450636575,0.0394289715,0.4182545245985215,0.2535385321
0.9955932412,0.2908936588,0.1339981544,0.965615896,0.1017310561,0.0322284321,0.41193362860056076,0.1260668531
0.9956487221,0.4031290025,0.2098922735,0.9728700043,0.128509764,0.0380096668,0.4742583800662758,0.9296188952
0.9872581156,0.6337333928,0.008987467800000001,0.91008157,0.1079745759,0.2486733219,0.19747721769054297,0.7088659407
0.9857274225,0.4165116076,0.3633095777000001,0.7833436078,0.2084982689,0.0331775203,0.440427447106806,0.218290722
0.9952728476,0.4806609025,0.5754643724,0.8969551174,0.3691566896,0.080061934,0.38257153326535814,0.2229531438
0.9895332895,0.4301895798,0.2270358594,0.5246838508,0.1058152942,0.0344977278,0.38572600688248787,0.2727912235
0.9911357831,0.6055538261,0.1730043357,0.8060266737,0.1652396741,0.0298381006,0.37879572393576344,0.1546003066
0.8440504744,0.6687378163000001,0.3569577601,0.0298648372,0.6185204718,0.0289271098,0.39875812515931686,0.3488174034000001
0.933741035,0.3127198225,0.3409990466,0.9192423237,0.0829758431,0.032745236000000004,0.5675622928880958,0.0430538151
0.1325832964,0.5411565335,0.7572551846,0.8826174388,0.0994326594,0.029215969700000007,0.5767588580168238,0.7335055159
0.016759124099999998,0.3619554496,0.8723790415,0.922775365,0.15177309,0.03860093,0.5836811751210808,0.5326324643
0.2300126484,0.8489183547,0.4449207172,0.8200668647,0.16260593869999998,0.1017437726,0.478328925567168,0.8463134804000001
0.9683181687,0.3062691187,0.5410397893,0.9562061822,0.0887635206,0.1182327158,0.5217467499362733,0.039938682
