acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence
0.951669965,0.658178654,0.924525162,0.965427015,0.115473884,0.032985219,0.444342659,0.963589892
0.909011429,0.443642591,0.641997168,0.9240917,0.267669451,0.089658913,0.511952747,0.788250782
0.235506187,0.438671692,0.487751988,0.71612184,0.070359308,0.047297772,0.481097056,0.650451689
0.532019493,0.417680921,0.476422498,0.402500406,0.172104669,0.035360722,0.539558374,0.682397181
0.778409916,0.706681063,0.866116014,0.806702599,0.104649817,0.065083465,0.478818825,0.917612908
0.933741035,0.312719823,0.340999047,0.919242324,0.082975843,0.032745236,0.567562293,0.043053815
0.230012648,0.848918355,0.444920717,0.820066865,0.162605939,0.101743773,0.478328926,0.84631348
0.968318169,0.306269119,0.541039789,0.956206182,0.088763521,0.118232716,0.52174675,0.039938682
0.976197969,0.245786029,0.286940546,0.961436016,0.116216601,0.048798335,0.326077778,0.117597731
0.993396802,0.441971555,0.484894395,0.938292699,0.092892846,0.044921869,0.530509177,0.638205074
0.979755252,0.371783751,0.523408141,0.968838162,0.109446962,0.070379131,0.671544418,0.377169697
0.993188,0.710144852,0.250673243,0.946342472,0.105912465,0.036461641,0.443012363,0.490516508
0.987328174,0.703590991,0.435712052,0.90172303,0.11375812,0.067624008,0.48914654,0.910820773
0.444821741,0.561166193,0.700912391,0.817286449,0.111111109,0.036441446,0.362752517,0.344763316
0.436374543,0.585548768,0.78292722,0.894427999,0.142187072,0.047893363,0.519627836,0.301543052
0.464508187,0.493599096,0.552749254,0.736317709,0.110116731,0.055116269,0.542692933,0.221480243
0.000712286,0.215454605,0.154910282,0.934585641,0.634111484,0.217626977,0.387060285,0.056255195
0.056446273,0.141534902,0.947976117,0.896793788,0.652779792,0.084914948,0.419361777,0.176857187
0.844582417,0.144216558,0.627556839,0.868801112,0.386047991,0.091710416,0.374533998,0.031675935
0.625136355,0.219944485,0.167366822,0.764413337,0.349104622,0.055937895,0.296293493,0.093487217
0.002433813,0.45129673,0.972469514,0.916794998,0.309109305,0.153491982,0.56188663,0.035459246
0.081227669,0.157287291,0.894475033,0.905146277,0.231034768,0.136550685,0.446405812,0.031984921
0.989282245,0.152005683,0.091203737,0.760214736,0.138474307,0.037363613,0.258499554,0.03391702
0.919064763,0.151925435,0.455523009,0.92733472,0.312394234,0.101207505,0.422663618,0.023318239
0.975207999,0.163319613,0.121384465,0.880795549,0.418239145,0.038552735,0.336051013,0.038956008
0.940140466,0.393908944,0.862659456,0.85671189,0.09289355,0.369300638,0.461102791,0.114784732
0.900033263,0.185073786,0.609550186,0.908268465,0.198721201,0.065938784,0.333625414,0.06576113
0.000213305,0.252381968,0.284970823,0.939646981,0.08936759,0.074631167,0.353293079,0.039766116
0.749772323,0.16971739,0.569925606,0.918723824,0.218856721,0.088581653,0.447859578,0.038065079
0.904433332,0.315821911,0.856073395,0.928762611,0.674746071,0.101761668,0.383877931,0.061998303
0.552862773,0.179063851,0.235684876,0.914949066,0.189466435,0.062723618,0.337094539,0.13496557
0.930738534,0.332540187,0.907335769,0.938266223,0.089242861,0.053696874,0.597529792,0.03694861
0.943913016,0.333114953,0.331842523,0.913341553,0.13266757,0.034157099,0.317622037,0.038170662
0.990638686,0.399673736,0.462909663,0.54888872,0.353002526,0.555433602,0.267576631,0.209429554
0.939171524,0.487894725,0.3929718,0.0362409,0.620822932,0.621427093,0.444601549,0.315653435
0.571189376,0.180967669,0.535992121,0.72188284,0.354404293,0.082597152,0.321549197,0.082711457
